county_fips,county_name,dma_code,dma_norm,centroid_lat,centroid_lng,n_primary,n_secondary,n_tertiary,dist_any_mi,dist_primary_mi,dist_secondary_mi,dist_tertiary_mi,2019,2020,2021,2022,2023,2024,2025,county_mismatch_2019,county_mismatch_2020,county_mismatch_2021,county_mismatch_2022,county_mismatch_2023,county_mismatch_2024,county_mismatch_2025
33,Lake,807,sf oakland san jose,39.09956568,-122.7541069,5,0,0,8.205337875,8.205337875,33.18053214,60.53078826,602.95,586.64,733.29,656.39,497.46,654.34,884.57,1,1,1,1,1,1,1
35,Lassen,811,reno,40.67344398,-120.5943294,1,0,0,16.37719949,16.37719949,91.41370345,94.7027626,325.24,342.45,294.6,415.54,325.52,467,500.83,0,0,0,0,0,0,0
37,Los Angeles,803,los angeles,34.32114132,-118.2246916,56,4,4,8.140271178,8.140271178,20.44010109,11.81324525,475.31,414.13,469.07,522.88,443.76,611.16,790.86,0,0,0,0,0,0,0
39,Madera,866,fresno visalia,37.2182163,-119.7627487,2,0,0,23.720194,23.8792809,23.720194,95.81261206,214.7,280.03,262.84,255.42,212.63,348.78,661.09,0,0,0,0,0,0,0
41,Marin,807,sf oakland san jose,38.07388192,-122.7238042,6,0,0,9.050451972,9.050451972,24.65506588,25.19586828,602.95,586.64,733.29,656.39,497.46,654.34,884.57,0,0,0,0,0,0,0
43,Mariposa,866,fresno visalia,37.57736279,-119.9110034,0,0,0,34.66387317,34.66387317,49.09373978,71.16622859,214.7,280.03,262.84,255.42,212.63,348.78,661.09,0,0,0,0,0,0,0
45,Mendocino,807,sf oakland san jose,39.4403536,-123.3914133,6,0,1,3.479863381,3.479863381,62.84889622,21.91540178,602.95,586.64,733.29,656.39,497.46,654.34,884.57,0,0,0,0,0,0,0
47,Merced,866,fresno visalia,37.19191313,-120.7175557,14,0,0,11.72694311,11.72694311,56.38359373,63.17825302,214.7,280.03,262.84,255.42,212.63,348.78,661.09,0,0,0,0,0,0,0
49,Modoc,813,medford klamath falls,41.58974607,-120.724791,0,0,0,79.7698142,79.7698142,109.2815138,111.862597,235.57,273.19,242.55,376.14,285.07,406.32,547.43,0,0,0,0,0,0,0
51,Mono,811,reno,37.93923384,-118.8875478,1,0,0,20.80752682,20.80752682,88.21027777,106.1322745,325.24,342.45,294.6,415.54,325.52,467,500.83,0,0,0,0,0,0,0
53,Monterey,828,monterey salinas,36.2163699,-121.2393212,15,1,1,15.70278178,15.70278178,44.95848757,37.9797157,402.39,388.08,367.26,448.71,377.98,517.05,607.81,0,0,0,0,0,0,0
